Case,AoA,NumPan,CL,CD
1,-5.0,250,-0.7270490366908221,0.0017598263677485557
1,-5.0,500,-0.7231154034155656,0.001788391294315633
1,-5.0,1000,-0.7247083157066994,0.0013979859667438827
1,-4.0,250,-0.5818876761346187,0.0020177414073897252
1,-4.0,500,-0.5783806839242367,0.0020875736666215675
1,-4.0,1000,-0.5798321772730738,0.0016677628336121725
1,-3.0,250,-0.4365623455359793,0.0022426333492164465
1,-3.0,500,-0.4334768991958747,0.00233455586558766
1,-3.0,1000,-0.4347885331715626,0.0018940867976705003
1,-2.0,250,-0.2911160934696433,0.0024335888755556544
1,-2.0,500,-0.2884459962976338,0.002528715668556916
1,-2.0,1000,-0.28961982723025337,0.0020762099330963995
1,-1.0,250,-0.14559195339119707,0.0025897956918568355
1,-1.0,500,-0.14332992305096406,0.002669600912442612
1,-1.0,1000,-0.1443685010319308,0.0022135209697687693
1,0.0,250,-3.293478879474641e-05,0.0027105461877784632
1,0.0,500,0.0018293768032240727,0.0027569324089951708
1,0.0,1000,0.0009230129928800791,0.0023055484184674123
1,1.0,250,0.1455179854331131,0.0027952407975849578
1,1.0,500,0.14698996823595503,0.002790606303014998
1,1.0,1000,0.14621229827539595,0.0023519632787058066
1,2.0,250,0.29101787135016777,0.00284339104372807
1,2.0,500,0.29210992938616165,0.002770695858185489
1,2.0,1000,0.29145696063914733,0.002352581314111043
1,3.0,250,0.43642383620729014,0.0028546222484971025
1,3.0,500,0.4371473558700576,0.0026974526572589733
1,3.0,1000,0.4366146346709763,0.002307364881654577
1,4.0,250,0.581693050414837,0.002828675899702753
1,4.0,500,0.5820603649737988,0.0025713072054581016
1,4.0,1000,0.58164298995262,0.0022164243024980082
1,5.0,250,0.7267827493666219,0.0027654116575177063
1,5.0,500,0.7268070997602984,0.0023928689281654944
1,5.0,1000,0.7264997371745417,0.0020800187637640337
